title,lead,director,genre,revenue,budget,profit_ratio,director_average_profit_ratio,lead_average_profit_ratio,lead_worked_in_genre_count,director_worked_in_genre_count,director_worked_with_lead_count
Jem and the Holograms,1257,1039,6,2333684,5000000,0.4667368,4.725459112,0.4667368,1,2,1
90 Minutes in Heaven,635,986,6,4842699,5000000,0.9685398,0.912381015,1.102078899,1,1,1
Race,1269,211,4,24804129,5000000,4.9608258,2.355858171,4.9608258,1,1,1
Paterson,1276,234,3,2152738,5000000,0.4305476,1.860234471,0.4305476,1,3,1
Captain Fantastic,828,1487,2,5879736,5000000,1.1759472,1.1759472,1.237067756,2,1,1
Hillary's America: The Secret History of the Democratic Party,1284,1494,5,13000000,5000000,2.6,2.6,2.6,1,1,1
God's Not Dead 2,1294,1344,6,23507567,5000000,4.7015134,3.226903759,4.7015134,1,2,1
Blair Witch,1299,1364,12,45172994,5000000,9.0345988,4.7540155,9.0345988,1,1,1
Before I Fall,1310,1517,11,10025571,5000000,2.0051142,2.0051142,2.0051142,1,1,1
Incarnate,678,1171,10,6341855,5000000,1.268371,2.364716467,2.052336563,2,1,1
Table 19,1134,1521,3,3305592,5000000,0.6611184,0.6611184,5.786814755,3,1,1
Paris Can Wait,703,1527,6,6700000,5000000,1.34,1.34,1.841489821,3,1,1
King of Kings,676,756,6,14483352,5037000,2.875392496,1.731813895,2.875392496,1,1,1
Fantastic Voyage,515,206,2,12000000,5115000,2.346041056,2.598204489,2.346041056,1,5,1
Class of 1999,1159,414,8,2459895,5200000,0.473056731,1.794994731,0.473056731,1,1,1
Giant,168,200,4,35000000,5400000,6.481481481,4.568920345,4.779584743,1,1,1
The Dirty Dozen,428,476,4,45300000,5400000,8.388888889,8.078382794,3.213552503,2,1,1
Chariots of Fire,287,328,6,58972904,5500000,10.72234618,10.72234618,10.72234618,1,1,1
High Plains Drifter,103,40,17,15700000,5500000,2.854545455,3.849782014,4.490158451,2,2,13
The Fury,172,124,10,24000000,5500000,4.363636364,1.746499177,5.001212121,1,2,1
The Gauntlet,103,40,6,26414658,5500000,4.802665091,3.849782014,4.490158451,4,9,13
Galaxina,608,672,3,4865000,5500000,0.884545455,0.884545455,0.884545455,1,1,1
Bullitt,207,508,4,42300873,5500000,7.691067818,5.666183948,5.003696637,3,1,1
Wish I Was Here,771,849,6,5483299,5500000,0.996963455,5.031464765,5.854826327,1,1,2
Predestination,62,1144,8,3000000,5500000,0.545454545,1.558138873,1.86300326,1,1,2
Miss Julie,1143,1405,6,5000000,5500000,0.909090909,0.909090909,2.984705587,3,1,1
47 Meters Down,1283,1493,6,44235023,5500000,8.042731455,8.042731455,8.042731455,1,1,1
Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes,742,826,4,29950000,5600000,5.348214286,3.031101043,5.348214286,1,1,1
StreetDance 3D,1145,1288,6,18144030,5773100,3.14285739,3.14285739,3.14285739,1,1,1
Planet of the Apes,213,232,8,33395426,5800000,5.757832069,5.89336069,7.391762533,1,1,1
The Train,328,189,4,6800000,5800000,1.172413793,1.543818978,3.537636286,2,2,2
Crossover,877,960,4,7000000,5800000,1.206896552,1.206896552,1.206896552,1,1,1
Hombre,212,488,4,12000000,5860000,2.04778157,1.77505014,3.539738743,5,2,2
The China Syndrome,132,702,12,51718367,5900000,8.765824915,4.722882405,3.098882274,1,1,1
