title,lead,director,genre,revenue,budget,profit_ratio,director_average_profit_ratio,lead_average_profit_ratio,lead_worked_in_genre_count,director_worked_in_genre_count,director_worked_with_lead_count
Rudy,113,143,6,22750363.0,12000000.0,1.8958635833333333,2.5372386805555553,2.566437528508772,1,2,1.0
Schindler's List,45,144,6,321365567.0,22000000.0,14.607525772727273,5.301865649505297,4.34228698045841,3,8,1.0
Serial Mom,114,145,3,7820688.0,13000000.0,0.6015913846153846,0.4935627261849262,1.8195763589743588,1,3,1.0
The Shadow,115,146,2,48063435.0,25000000.0,1.9225374,1.5269694888888887,4.2812687,1,2,1.0
Sleepless in Seattle,1,147,3,227799884.0,21000000.0,10.847613523809525,4.872777113277042,4.655450037545514,12,3,2.0
Sliver,74,104,6,116300000.0,40000000.0,2.9075,2.3177414414643716,1.3463713535714286,1,5,1.0
Blade Runner,85,34,8,33139618.0,28000000.0,1.1835577857142856,2.0460126387905593,3.6757163228353873,1,1,1.0
So I Married an Axe Murderer,116,148,3,11585483.0,20000000.0,0.57927415,0.57927415,4.261990747536036,3,1,1.0
Super Mario Bros.,117,149,2,20915465.0,48000000.0,0.4357388541666667,0.4357388541666667,2.5736119842261904,1,1,1.0
Surviving the Game,118,150,4,7690013.0,7400000.0,1.0391909459459459,1.7358088478558558,1.0391909459459459,1,5,1.0
Terminal Velocity,102,151,4,16478900.0,50000000.0,0.329578,2.271474875,2.441380391908832,5,2,1.0
The Nightmare Before Christmas,119,152,9,75634409.0,18000000.0,4.201911611111111,2.346534713060429,4.201911611111111,1,1,1.0
The Three Musketeers,102,153,4,53898845.0,30000000.0,1.7966281666666666,2.871228802165135,2.441380391908832,5,1,1.0
Tombstone,77,154,4,56505065.0,25000000.0,2.2602026,3.238556568484848,1.867476349114869,12,2,1.0
True Romance,120,53,4,12281551.0,12500000.0,0.98252408,3.0036939879581808,0.7949865657971015,2,9,1.0
The Pagemaster,121,2,9,13670688.0,27000000.0,0.5063217777777778,3.390212454395802,1.5607043594771244,1,1,1.0
The Silence of the Lambs,70,136,7,272742922.0,19000000.0,14.354890631578947,5.589982641273053,4.80791785414008,3,1,1.0
Beauty and the Beast,122,155,13,377350553.0,25000000.0,15.09402212,15.09402212,15.09402212,1,1,1.0
Fargo,123,156,7,60611975.0,7000000.0,8.65885357142857,3.901257814934511,8.65885357142857,1,3,1.0
Hellraiser: Bloodline,124,157,10,16675000.0,4000000.0,4.16875,4.16875,4.16875,1,1,1.0
The Aristocats,125,158,1,55675257.0,4000000.0,13.91881425,7.816676572222222,13.91881425,1,3,1.0
Primal Fear,126,159,7,102616183.0,30000000.0,3.4205394333333334,1.7517139981950842,2.102684389296309,2,2,1.0
Girl 6,127,51,3,4939939.0,12000000.0,0.41166158333333336,1.7177060798697596,0.41166158333333336,1,1,1.0
Courage Under Fire,48,83,6,100860818.0,46000000.0,2.1926264782608698,2.3408064470548258,2.1880721370462943,14,3,2.0
DragonHeart,128,160,9,115267375.0,57000000.0,2.022234649122807,4.2602833628406955,3.139474424093598,1,1,1.0
James and the Giant Peach,129,152,2,28921264.0,38000000.0,0.7610858947368421,2.346534713060429,0.7610858947368421,1,1,1.0
Faithful,130,161,3,9789900.0,13000000.0,0.7530692307692308,4.48044234119368,1.3183482276703136,3,3,1.0
Space Jam,131,162,1,250200000.0,80000000.0,3.1275,3.1275,3.1275,1,1,1.0
Barbarella,132,163,8,2500000.0,9000000.0,0.2777777777777778,0.2777777777777778,3.0988822744889326,1,1,1.0
Mrs. Winterbourne,133,164,3,10070000.0,25000000.0,0.4028,1.4325015400307222,1.4514,2,5,1.0
The Quest,5,165,4,57400547.0,30000000.0,1.9133515666666667,1.9133515666666667,2.4672083983288373,8,1,1.0
Oliver & Company,134,166,1,74151346.0,31000000.0,2.3919789032258065,2.3919789032258065,2.3919789032258065,1,1,1.0
Flipper,135,167,2,20080020.0,25530000.0,0.7865264394829612,1.5273795530748138,0.4349528798276537,1,1,1.0
The Horseman on the Roof,136,168,15,15000000.0,35000000.0,0.42857142857142855,0.42857142857142855,2.269706009119769,1,1,1.0
The Craft,137,169,6,24769466.0,15000000.0,1.6512977333333334,2.0719856162393167,1.6512977333333334,1,1,1.0
Original Gangstas,138,170,4,3014000.0,4800000.0,0.6279166666666667,0.6279166666666667,0.6279166666666667,1,1,1.0
The Rock,50,47,4,335062621.0,75000000.0,4.467501613333333,4.186303900175439,3.997717463272835,3,3,1.0
